timestamp_unix,timestamp_iso,memory_used_bytes,memory_used_gb,memory_max_bytes,memory_max_gb
1770719174,2026-02-10T08:06:14Z,1363136912,1.27,2489421312,2.32
1770719474,2026-02-10T08:11:14Z,1363160424,1.27,2489421312,2.32
1770719774,2026-02-10T08:16:14Z,1363233728,1.27,2489421312,2.32
1770720074,2026-02-10T08:21:14Z,1363210480,1.27,2489421312,2.32
1770720374,2026-02-10T08:26:14Z,1363182080,1.27,2489421312,2.32
1770720674,2026-02-10T08:31:14Z,1363127384,1.27,2489421312,2.32
1770720974,2026-02-10T08:36:14Z,1363138120,1.27,2489421312,2.32
1770721274,2026-02-10T08:41:14Z,1451053824,1.35,2489421312,2.32
1770721574,2026-02-10T08:46:14Z,1450295144,1.35,2489421312,2.32
1770721874,2026-02-10T08:51:14Z,1448809416,1.35,2489421312,2.32
1770722174,2026-02-10T08:56:14Z,1447899456,1.35,2489421312,2.32
1770722474,2026-02-10T09:01:14Z,1446794152,1.35,2489421312,2.32
1770722774,2026-02-10T09:06:14Z,1445670624,1.35,2489421312,2.32
1770723074,2026-02-10T09:11:14Z,1444713488,1.35,2489421312,2.32
1770723374,2026-02-10T09:16:14Z,1443718320,1.34,2489421312,2.32
1770723674,2026-02-10T09:21:14Z,1441185760,1.34,2489421312,2.32
1770723974,2026-02-10T09:26:14Z,1440248000,1.34,2489421312,2.32
1770724274,2026-02-10T09:31:14Z,1438951312,1.34,2489421312,2.32
1770724574,2026-02-10T09:36:14Z,1438132528,1.34,2489421312,2.32
1770724874,2026-02-10T09:41:14Z,1437432248,1.34,2489421312,2.32
1770725174,2026-02-10T09:46:14Z,1436737984,1.34,2489421312,2.32
1770725474,2026-02-10T09:51:14Z,1435637256,1.34,2489421312,2.32
1770725774,2026-02-10T09:56:14Z,1435148720,1.34,2489421312,2.32
1770726074,2026-02-10T10:01:14Z,1434948776,1.34,2489421312,2.32
1770726374,2026-02-10T10:06:14Z,1434124320,1.34,2489421312,2.32
1770726674,2026-02-10T10:11:14Z,1433418288,1.33,2489421312,2.32
1770726974,2026-02-10T10:16:14Z,1432496720,1.33,2489421312,2.32
1770727274,2026-02-10T10:21:14Z,1431637784,1.33,2489421312,2.32
