timestamp_unix,timestamp_iso,memory_usage_percent
1770719161,2026-02-10T08:06:01Z,54.78
1770719461,2026-02-10T08:11:01Z,54.78
1770719761,2026-02-10T08:16:01Z,54.78
1770720061,2026-02-10T08:21:01Z,54.78
1770720361,2026-02-10T08:26:01Z,54.78
1770720661,2026-02-10T08:31:01Z,54.78
1770720961,2026-02-10T08:36:01Z,54.78
1770721261,2026-02-10T08:41:01Z,58.22
1770721561,2026-02-10T08:46:01Z,58.27
1770721861,2026-02-10T08:51:01Z,58.22
1770722161,2026-02-10T08:56:01Z,58.18
1770722461,2026-02-10T09:01:01Z,58.14
1770722761,2026-02-10T09:06:01Z,58.10
1770723061,2026-02-10T09:11:01Z,58.06
1770723361,2026-02-10T09:16:01Z,58.02
1770723661,2026-02-10T09:21:01Z,57.92
1770723961,2026-02-10T09:26:01Z,57.87
1770724261,2026-02-10T09:31:01Z,57.83
1770724561,2026-02-10T09:36:01Z,57.80
1770724861,2026-02-10T09:41:01Z,57.78
1770725161,2026-02-10T09:46:01Z,57.73
1770725461,2026-02-10T09:51:01Z,57.70
1770725761,2026-02-10T09:56:01Z,57.67
1770726061,2026-02-10T10:01:01Z,57.65
1770726361,2026-02-10T10:06:01Z,57.63
1770726661,2026-02-10T10:11:01Z,57.60
1770726961,2026-02-10T10:16:01Z,57.55
1770727261,2026-02-10T10:21:01Z,57.52
1770727561,2026-02-10T10:26:01Z,57.53
1770727861,2026-02-10T10:31:01Z,57.50
1770728161,2026-02-10T10:36:01Z,57.49
1770728461,2026-02-10T10:41:01Z,57.50
1770728761,2026-02-10T10:46:01Z,57.48
1770729061,2026-02-10T10:51:01Z,57.47
1770729361,2026-02-10T10:56:01Z,57.46
1770729661,2026-02-10T11:01:01Z,57.47
1770729961,2026-02-10T11:06:01Z,57.46
1770730261,2026-02-10T11:11:01Z,57.48
1770730561,2026-02-10T11:16:01Z,57.48
1770730861,2026-02-10T11:21:01Z,57.46
1770731161,2026-02-10T11:26:01Z,57.44
1770731461,2026-02-10T11:31:01Z,57.39
1770731761,2026-02-10T11:36:01Z,57.33
1770732061,2026-02-10T11:41:01Z,59.04
1770732361,2026-02-10T11:46:01Z,68.48
1770732661,2026-02-10T11:51:01Z,75.61
1770732961,2026-02-10T11:56:01Z,74.33
1770733261,2026-02-10T12:01:01Z,74.62
1770733561,2026-02-10T12:06:01Z,73.59
1770733861,2026-02-10T12:11:01Z,72.18
1770734161,2026-02-10T12:16:01Z,70.75
1770734461,2026-02-10T12:21:01Z,69.29
1770734761,2026-02-10T12:26:01Z,67.82
1770735061,2026-02-10T12:31:01Z,66.24
1770735361,2026-02-10T12:36:01Z,64.86
1770735661,2026-02-10T12:41:01Z,63.27
1770735961,2026-02-10T12:46:01Z,61.59
1770736261,2026-02-10T12:51:01Z,59.89
1770736561,2026-02-10T12:56:01Z,58.72
1770736861,2026-02-10T13:01:01Z,57.77
1770737161,2026-02-10T13:06:01Z,56.98
1770737461,2026-02-10T13:11:01Z,56.30
1770737761,2026-02-10T13:16:01Z,55.76
1770738061,2026-02-10T13:21:01Z,55.54
1770738361,2026-02-10T13:26:01Z,55.36
1770738661,2026-02-10T13:31:01Z,55.27
1770738961,2026-02-10T13:36:01Z,55.25
1770739261,2026-02-10T13:41:01Z,55.14
1770739561,2026-02-10T13:46:01Z,55.13
1770739861,2026-02-10T13:51:01Z,55.08
1770740161,2026-02-10T13:56:01Z,55.08
1770740461,2026-02-10T14:01:01Z,55.04
1770740761,2026-02-10T14:06:01Z,55.07
