Date,Day_of_Week,Day_Number,Cup_Count,Vs_Opening_Day_Pct,Vs_Subsequent_Avg_Pct,Notes
2026-02-06,Friday,0,298,0.0,46.8,Opening day (half-day 12 PM start)
2026-02-07,Saturday,1,156,-47.7,-23.2,Weekend dip
2026-02-08,Sunday,2,145,-51.3,-28.6,Weekend dip
2026-02-09,Monday,3,208,-30.2,2.5,Weekday recovery
2026-02-10,Tuesday,4,296,-0.7,45.8,Near opening day level
2026-02-11,Wednesday,5,201,-32.6,-1.0,Partial data (incomplete)
