spu_code,month,qty,revenue
PR000027,2025-06,260,480.23
PR000027,2025-07,3845,11550.93
PR000027,2025-08,3101,10095.62
PR000027,2026-01,6,38.22
PR000029,2025-05,5,0.05
PR000029,2025-06,26,11.58
PR000029,2025-07,140,416.6
PR000029,2025-08,162,546.13
PR000029,2025-12,1,6.75
PR000029,2026-01,1,5.9
PR000030,2025-05,5,5.05
PR000030,2025-06,130,238.29
PR000030,2025-07,2902,8609.68
PR000030,2025-08,4216,12745.8
PR000030,2025-09,3,17.25
PR000030,2026-01,1,6.4
PR000031,2025-05,10,4.6
PR000031,2025-06,125,158.6
PR000031,2025-07,1839,5319.93
PR000031,2025-08,2208,6854.55
PR000031,2025-09,3556,11218.86
PR000031,2025-10,2799,9023.68
PR000031,2025-11,2234,7164.89
PR000031,2025-12,2186,6876.03
PR000031,2026-01,2798,8901.54
PR000031,2026-02,1680,5360.13
PR000032,2025-05,3,4.53
PR000032,2025-06,50,63.29
PR000032,2025-07,624,1867.66
PR000032,2025-08,537,1724.34
PR000032,2025-09,775,2670.2
PR000032,2025-10,623,2392.16
PR000032,2025-11,516,1875.48
PR000032,2025-12,651,2369.87
PR000032,2026-01,593,2189.57
PR000032,2026-02,16,63.58
PR000033,2025-05,5,8.55
PR000033,2025-06,159,299.79
PR000033,2025-07,2493,7145.34
PR000033,2025-08,1846,5695.98
PR000033,2025-09,1988,6386.86
PR000033,2025-10,1139,3857.5
PR000033,2025-11,788,2619.19
PR000033,2025-12,862,2784.17
PR000033,2026-01,727,2326.82
PR000033,2026-02,20,61.42
PR000034,2025-05,1,2.01
PR000034,2025-06,27,19.55
PR000034,2025-07,332,997.64
PR000034,2025-08,280,895.74
PR000034,2025-09,331,1158.42
PR000034,2025-10,212,764.1
PR000034,2025-11,169,609.88
PR000034,2025-12,216,755.51
PR000034,2026-01,169,634.72
PR000034,2026-02,1,3.13
PR000035,2025-05,30,38.68
PR000035,2025-06,45,55.53
PR000035,2025-07,932,2884.95
PR000035,2025-08,750,2414.78
PR000035,2025-09,1153,4038.73
PR000035,2025-10,815,3009.44
PR000035,2025-11,691,2647.52
PR000035,2025-12,336,1223.5
PR000035,2026-01,688,2547.57
PR000035,2026-02,541,2082.44
PR000036,2025-05,32,62.96
PR000036,2025-06,55,67.37
PR000036,2025-07,838,2466.45
PR000036,2025-08,628,1983.7
PR000036,2025-09,941,3066.45
PR000036,2025-10,604,2028.36
PR000036,2025-11,698,2403.56
PR000036,2025-12,698,2299.46
PR000036,2026-01,751,2487.6
PR000036,2026-02,544,1803.24
PR000037,2025-05,3,0.03
PR000037,2025-06,38,23.52
PR000037,2025-07,117,367.94
PR000037,2025-08,225,730.14
PR000038,2025-05,9,2.09
PR000038,2025-06,62,59.77
PR000038,2025-07,614,1887.23
PR000038,2025-08,472,1514.37
PR000039,2025-05,5,0.05
PR000039,2025-06,105,162.7
PR000039,2025-07,1662,4971.95
PR000039,2025-08,1575,5186.9
PR000039,2025-09,1819,7326.17
PR000039,2025-10,916,3380.69
PR000039,2025-11,886,2928.19
PR000039,2025-12,1093,3788.44
PR000039,2026-01,1170,4415.46
PR000039,2026-02,637,2663.77
PR000040,2025-05,4,1.04
PR000040,2025-06,27,13.21
PR000041,2025-05,3,0.53
PR000041,2025-06,65,119.75
PR000041,2025-07,652,2022.93
PR000041,2025-08,824,2595.8
PR000041,2025-09,660,2213.57
PR000041,2025-10,410,1392.44
