spu_code,product_name,ingredient_code,ingredient_name,quantity,unit,unit_price,line_cost
PR000017,Iced Latte (Flat White variant),GS07438,16oz Iced Cup Flat Lid,1,pc,0.04,0.04
PR000017,Iced Latte (Flat White variant),GS07451,16oz Iced Cup,1,pc,0.08,0.08
PR000111,Pistachio Oat Latte (Hot),GS07465,Medium Roast Espresso,14,g,0.02,0.28
PR000111,Pistachio Oat Latte (Hot),GS07491,DVG Hazelnut Syrup,22.5,ml,0.013,0.2925
PR000111,Pistachio Oat Latte (Hot),PFM000029,Pistachio Cream/Paste,111.5,g,0.012,1.338
PR000111,Pistachio Oat Latte (Hot),GS07565,Oatly Oat Milk,307.5,ml,0.005,1.5375
PR000111,Pistachio Oat Latte (Hot),GS07441,16oz Hot Cup,1,pc,0.08,0.08
PR000111,Pistachio Oat Latte (Hot),GS07443,16oz Hot Cup Lid,1,pc,0.04,0.04
PR000020,Iced Flat White,GS07466,Dark Roast Espresso,21,g,0.02,0.42
PR000020,Iced Flat White,GS07566,Tuscan Whole Milk,208,ml,0.0012,0.2496
PR000020,Iced Flat White,GS07437,Straw,1,pc,0.02,0.02
PR000020,Iced Flat White,GS07438,16oz Iced Cup Flat Lid,1,pc,0.04,0.04
PR000020,Iced Flat White,GS07451,16oz Iced Cup,1,pc,0.08,0.08
